source,filename,word_count,char_count,lexical_diversity,avg_complexity,lzma_ratio,bz2_ratio,gzip_ratio,zlib_ratio,zstd_ratio,brotli_ratio
ai,Algorithm_Design_and_Analysis.txt,1772,14059,0.5344243792325056,0.3623610814909599,0.37762138337954076,0.35750337669723464,0.38437477784886614,0.3835217174948461,0.37029928200753537,0.3008459515177365
ai,Artificial_Intelligence_and_Ethics.txt,2679,18857,0.425531914893617,0.3553759166004064,0.3702093824542804,0.34137291280148424,0.3825072886297376,0.38187119003445535,0.36512059369202227,0.2911741319904585
ai,Artificial_Intelligence_Complete_Analysis.txt,10181,80020,0.3606718397014046,0.3099616858237548,0.31079460269865067,0.28480759620189905,0.3377936031984008,0.33764367816091956,0.3125062468765617,0.2762243878060969
ai,Artificial_Neural_Networks.txt,1887,15300,0.5590885002649708,0.36492374727668847,0.3809150326797386,0.3537254901960784,0.3892156862745098,0.3884313725490196,0.3737254901960784,0.3035294117647059
ai,Blockchain_Technology.txt,3275,25057,0.40549618320610686,0.32307416124785576,0.3330274863366179,0.3096501376311485,0.347947500698129,0.3474687836597918,0.3307136873179878,0.26963737184345954
ai,Cloud_Computing_Revolution.txt,3076,23935,0.40377113133940185,0.31871357231287123,0.3293410674790302,0.307474022451279,0.3424446020948963,0.34194383007136003,0.3262947043358511,0.26478320744481076
ai,Compiler_Design_and_Implementation.txt,1744,13421,0.5086009174311926,0.35173603355421534,0.36750800387164023,0.34465043555952646,0.37607028516119423,0.3751768297222843,0.3594669049214504,0.28754374208919664
ai,Computer_Graphics_and_Visualization.txt,1627,12784,0.5556238475722188,0.3722882770129328,0.3901752190237797,0.36013767209011266,0.39752816020025034,0.3965894868585732,0.381883604505632,0.30741551939924905
ai,Computer_Networks_and_Protocols.txt,1587,12596,0.5400126023944549,0.37142252552504895,0.3885097603554991,0.36486272020314237,0.39573083637517853,0.39477860657038566,0.38390731629900016,0.3007459133470878
ai,Computer_Vision.txt,1769,13772,0.5387224420576597,0.37349937070384354,0.38977635782747605,0.36712169619517865,0.3983444670345629,0.3974731338948591,0.3836044147545745,0.3046761545164101
ai,Cybersecurity_in_Modern_Era.txt,2662,20534,0.46168294515401953,0.34953591016778635,0.36315840716580666,0.3371628857949567,0.37635089085775486,0.37576672183818516,0.35892318177392657,0.28585337357608803
ai,Database_Management_Systems.txt,1672,12931,0.5113636363636364,0.36554859984027616,0.3824097689156813,0.35906947986706855,0.3895973413710488,0.38866991266713036,0.3756086250869464,0.2979364711337816
ai,Data_Science_and_Big_Data.txt,3294,25170,0.43624772313296906,0.33638227513227514,0.346984126984127,0.3226984126984127,0.3622619047619048,0.36178571428571427,0.34476190476190477,0.27980158730158733
ai,Data_Structures.txt,1865,15056,0.5211796246648793,0.35410993779194616,0.3682008368200837,0.3448894202032277,0.3753071661021452,0.3745101945938766,0.36175865046157935,0.2999933585707644
ai,Distributed_Systems.txt,1510,11901,0.5019867549668874,0.35400397458504773,0.3721555126375011,0.3484759425644471,0.3777815097825174,0.376773868502813,0.362582920480309,0.2862540935426988
ai,Future_of_Programming_Languages.txt,3493,26679,0.3670197537933009,0.31530468232854986,0.3244782494660722,0.3001236464461014,0.33939076023830045,0.33894113679793175,0.32166810296376785,0.2672261980591255
ai,Internet_of_Things.txt,4060,30319,0.38866995073891625,0.3264857497719304,0.3346193161209483,0.3105153823325749,0.35235928380650905,0.3519635967949352,0.333267385498071,0.27618953407854385
ai,Machine_Learning_Applications.txt,2898,22160,0.43512767425810905,0.3281287605294826,0.3409747292418773,0.3148465703971119,0.35333935018050544,0.35279783393501807,0.3359205776173285,0.27089350180505417
ai,Mobile_Application_Development.txt,1805,14518,0.5673130193905818,0.374052899848464,0.3909629425540708,0.36823253891720625,0.39915966386554624,0.3983331037332966,0.3833172613307618,0.30431188868990217
ai,Natural_Language_Processing.txt,1843,14546,0.5425935973955507,0.3659679266895762,0.3829553264604811,0.35690721649484536,0.39065292096219933,0.3898281786941581,0.37628865979381443,0.29917525773195874
ai,Operating_Systems_Architecture.txt,1478,11422,0.4884979702300406,0.3538201132317749,0.3733146559271581,0.34818770793206094,0.37681666958501137,0.3757660654876554,0.36298371563649096,0.2858518648222728
ai,Parallel_Computing.txt,1596,12711,0.5087719298245614,0.35398473762882543,0.37070254110612855,0.34474077570608136,0.375894894186138,0.37495082998977264,0.36267799543702306,0.294941389347809
ai,philosophical_time.txt,176,1233,0.7329545454545454,0.5121457489878543,0.6089068825910932,0.5384615384615384,0.5246963562753036,0.5149797570850202,0.5206477732793522,0.3651821862348178
ai,Quantum_Computing.txt,3150,23487,0.38476190476190475,0.3188566081075333,0.33042664511463693,0.30758432940575947,0.34301756774001446,0.34250712493087754,0.3261729550384959,0.2634310264154154
ai,Quantum_Computing_Extended.txt,6726,55622,0.36574487065120426,0.298665876252238,0.3020820234609374,0.2766630139939282,0.3239980598918569,0.3237824923204053,0.30337542888964736,0.26209423895665296
ai,Robotics_and_Automation.txt,2019,16435,0.549777117384844,0.36178886522665044,0.37651353818071187,0.3539397627015516,0.3864922421661089,0.3857620930940067,0.3699421965317919,0.29808335868573166
ai,Software_Development_Methodologies.txt,3362,26087,0.4274241522903034,0.3312716224324359,0.34207805139596337,0.31484814828999275,0.35624832446095517,0.3557887480372257,0.34016314963042393,0.27850331278005436
ai,Software_Testing_and_Quality_Assurance.txt,1815,14469,0.5201101928374655,0.3556223650563273,0.37293524085976915,0.3483309143686502,0.380192134909116,0.3793627755891907,0.36491810076715736,0.28799502384408043
