filename,source,original_size,word_count,avg_complexity,lzma_ratio,lzma_size,bz2_ratio,bz2_size,gzip_ratio,gzip_size,zlib_ratio,zlib_size,zstd_ratio,zstd_size,brotli_ratio,brotli_size,ppmd_ratio,ppmd_size
ash_prophet.txt,AI,788,118,0.5511844331641286,0.6802030456852792,536,0.5824873096446701,459,0.5583756345177665,440,0.5431472081218274,428,0.5545685279187818,437,0.3883248730964467,306,,
bone_singer.txt,AI,777,114,0.5894308943089431,0.7086007702182285,552,0.613607188703466,478,0.5840821566110398,455,0.5686777920410783,443,0.582798459563543,454,0.47881899871630296,373,,
breath_merchant.txt,AI,792,112,0.5693048576214406,0.6834170854271356,544,0.592964824120603,472,0.5640703517587939,449,0.5489949748743719,437,0.5678391959798995,452,0.4585427135678392,365,,
candle_timer.txt,AI,803,116,0.5721054800164812,0.69221260815822,560,0.595797280593325,482,0.5710754017305315,462,0.5562422744128553,450,0.5784919653893696,468,0.4388133498145859,355,,
clock_whisperer.txt,AI,801,114,0.5734989648033126,0.6906832298136646,556,0.6198757763975156,499,0.5739130434782609,462,0.5590062111801242,450,0.5726708074534161,461,0.4248447204968944,342,,
cloud_shepherd.txt,AI,733,121,0.6015873015873016,0.7292517006802721,536,0.6326530612244898,465,0.5959183673469388,438,0.5795918367346938,426,0.5959183673469388,438,0.47619047619047616,350,,
color_thief.txt,AI,714,115,0.5915032679738562,0.7282913165266106,520,0.6162464985994398,440,0.5882352941176471,420,0.5714285714285714,408,0.5868347338935574,419,0.4579831932773109,327,,
compass_heart.txt,AI,750,119,0.5729166666666666,0.6861702127659575,516,0.6063829787234043,456,0.5638297872340425,424,0.5478723404255319,412,0.5691489361702128,428,0.4640957446808511,349,,
digital_phoenix.txt,AI,796,117,0.6215538847117794,0.7518796992481203,600,0.6641604010025063,530,0.6215538847117794,496,0.606516290726817,484,0.6203007518796992,495,0.4649122807017544,371,,
door_whisperer.txt,AI,755,113,0.5885072655217966,0.7186261558784677,544,0.6327608982826949,479,0.5878467635402906,445,0.571994715984148,433,0.5865257595772787,444,0.4332892998678996,328,,
dream_librarian.txt,AI,786,114,0.5865059221658206,0.7055837563451777,556,0.6154822335025381,485,0.5875634517766497,463,0.5723350253807107,451,0.583756345177665,460,0.4543147208121827,358,,
dust_historian.txt,AI,783,115,0.5785684032189751,0.7013977128335451,552,0.6200762388818297,488,0.5743329097839899,452,0.5590851334180432,440,0.5756035578144854,453,0.4409148665819568,347,,
echo_keeper.txt,AI,769,115,0.5970600951145698,0.7107652399481194,548,0.6316472114137484,487,0.5940337224383917,458,0.5784695201037614,446,0.5914396887159533,456,0.47600518806744485,367,,
emotion_garden.txt,AI,809,118,0.594944512946979,0.7102342786683107,576,0.6263871763255241,508,0.5893958076448829,478,0.5745992601726264,466,0.5906288532675709,479,0.4784217016029593,388,,
fever_dreamer.txt,AI,763,118,0.5977835723598436,0.7196870925684485,552,0.6310299869621904,484,0.5984354628422425,459,0.5827900912646675,447,0.5971316818774446,458,0.4576271186440678,351,,
footprint_reader.txt,AI,751,117,0.5949227373068433,0.7152317880794702,540,0.6291390728476821,475,0.5920529801324503,447,0.5761589403973509,435,0.5867549668874172,443,0.47019867549668876,355,,
frost_writer.txt,AI,810,118,0.5755528255528256,0.6977886977886978,568,0.6130221130221131,499,0.5798525798525799,472,0.5651105651105651,460,0.5749385749385749,468,0.4226044226044226,344,,
gravity_dancer.txt,AI,766,110,0.5971861471861472,0.7272727272727273,560,0.638961038961039,492,0.5987012987012987,461,0.5831168831168831,449,0.6038961038961039,465,0.43116883116883115,332,,
light_sculptor.txt,AI,826,116,0.5873493975903614,0.708433734939759,588,0.6337349397590362,526,0.5891566265060241,489,0.5746987951807229,477,0.5891566265060241,489,0.42891566265060244,356,,
memory_photographer.txt,AI,822,118,0.5689724919093851,0.6844660194174758,564,0.595873786407767,491,0.5679611650485437,468,0.5533980582524272,456,0.5679611650485437,468,0.4441747572815534,366,,
mirror_merchant.txt,AI,760,128,0.6106736657917761,0.7401574803149606,564,0.6548556430446194,499,0.60498687664042,461,0.589238845144357,449,0.6023622047244095,459,0.47244094488188976,360,,
moon_shepherd.txt,AI,751,114,0.5914121292607348,0.7277556440903055,548,0.6175298804780877,465,0.5869853917662683,442,0.5710491367861886,430,0.5856573705179283,441,0.4594953519256308,346,,
pattern_breaker.txt,AI,784,112,0.554919423240034,0.6768447837150128,532,0.5903307888040712,464,0.5585241730279898,439,0.5432569974554707,427,0.5534351145038168,435,0.4071246819338422,320,,
question_farmer.txt,AI,784,113,0.5841793570219966,0.7055837563451777,556,0.6192893401015228,488,0.5774111675126904,455,0.5621827411167513,443,0.5812182741116751,458,0.4593908629441624,362,,
rain_composer.txt,AI,803,112,0.6047087980173482,0.7286245353159851,588,0.644361833952912,520,0.6009913258983891,485,0.5861214374225526,473,0.6071871127633209,490,0.46096654275092935,372,,
ridge_walker.txt,AI,732,115,0.5799273387829247,0.6975476839237057,512,0.6049046321525886,444,0.5749318801089919,422,0.55858310626703,410,0.5776566757493188,424,0.4659400544959128,342,,
root_singer.txt,AI,748,119,0.6006666666666667,0.7413333333333333,556,0.632,474,0.6013333333333334,451,0.5853333333333334,439,0.5986666666666667,449,0.44533333333333336,334,,
salt_keeper.txt,AI,709,115,0.605890603085554,0.729312762973352,520,0.6535764375876578,466,0.5988779803646563,427,0.5820476858345021,415,0.5932678821879382,423,0.4782608695652174,341,,
